frame_index,time,road,lane,vehicle_class,vehicle_id
86,3.44,R,r,car,25
333,13.32,L,r,truck,68
452,18.08,L,r,truck,153
467,18.68,L,r,truck,133
496,19.84,L,m,truck,157
509,20.36,L,r,truck,113
586,23.44,L,r,truck,180
685,27.4,L,r,truck,248
803,32.12,R,r,car,301
963,38.52,L,l,truck,405
1198,47.92,L,r,truck,473
1640,65.6,R,r,truck,719
1752,70.08,L,m,car,691
2012,80.48,R,m,truck,911
2155,86.2,R,r,truck,1016
2381,95.24,R,l,car,1126
2403,96.12,R,l,car,1141
2439,97.56,R,l,car,1164
2484,99.36,R,l,car,1185
2550,102,R,l,car,1216
2617,104.68,R,l,car,1265
2675,107,R,r,bus,1321
2748,109.92,R,r,truck,1347
2923,116.92,R,r,car,1497
3267,130.68,L,r,car,1577
3851,154.04,L,r,car,1868
4268,170.72,R,m,car,2044
4319,172.76,R,m,truck,2090
4351,174.04,L,r,truck,2074
4371,174.84,R,m,car,2112
5209,208.36,L,m,car,2319
5251,210.04,L,l,car,2353
5348,213.92,R,l,car,2400
5450,218,R,l,car,2470
5464,218.56,R,m,car,2484
5560,222.4,R,l,car,2518
6132,245.28,L,m,truck,2780
6145,245.8,L,r,bus,2768
6340,253.6,R,m,truck,2896
6378,255.12,L,r,truck,2812
6617,264.68,L,l,car,3029
7185,287.4,R,r,truck,3215
7477,299.08,L,r,truck,3378
7695,307.8,R,l,car,3458
8067,322.68,R,r,car,3630
8415,336.6,R,r,truck,3791
8467,338.68,L,l,bus,3820
8755,350.2,R,l,car,3945
9062,362.48,R,r,truck,4073
9288,371.52,L,r,truck,4163
9322,372.88,R,r,truck,4236
9406,376.24,R,r,truck,4264
9836,393.44,R,m,bus,4522
9970,398.8,R,m,bus,4589
9989,399.56,R,r,truck,4591
10115,404.6,L,m,car,4649
10512,420.48,R,r,bus,4839
11167,446.68,R,r,truck,5096
11425,457,R,m,bus,5167
11932,477.28,R,r,car,5392
11934,477.36,R,r,truck,5396
11967,478.68,R,r,truck,5424
12254,490.16,R,m,bus,5570
12611,504.44,R,m,truck,5767
12667,506.68,R,r,car,5786
13009,520.36,L,r,car,5908
13204,528.16,L,r,car,6047
13373,534.92,L,r,truck,6154
13674,546.96,L,r,bus,6307
13718,548.72,R,m,car,6328
14337,573.48,R,l,car,6550
14425,577,L,r,truck,6557
14743,589.72,R,r,truck,6705
15241,609.64,R,r,bus,6842
15608,624.32,R,r,truck,6944
15684,627.36,R,m,bus,6956
16689,667.56,R,r,truck,7263
16801,672.04,L,l,car,7298
16802,672.08,R,m,bus,7295
16808,672.32,L,m,car,7310
17130,685.2,L,m,truck,7467
17586,703.44,R,m,car,7752
17875,715,R,m,truck,8012
18039,721.56,R,r,truck,8119
18615,744.6,R,r,truck,8427
18642,745.68,R,m,car,8432
18643,745.72,R,r,car,8426
18684,747.36,L,r,truck,8493
18937,757.48,R,r,truck,8644
18953,758.12,R,m,truck,8665
18971,758.84,L,r,truck,8579
18971,758.84,L,r,truck,8647
19064,762.56,R,m,car,8726
19167,766.68,R,m,truck,8764
19254,770.16,L,r,truck,8782
19264,770.56,R,r,car,8805
19885,795.4,R,m,truck,9081
20655,826.2,R,r,truck,9484
21061,842.44,R,m,car,9633
21136,845.44,L,m,car,9645
21154,846.16,R,m,bus,9648
21202,848.08,R,l,truck,9666
21441,857.64,R,m,truck,9714
21527,861.08,R,m,truck,9739
21751,870.04,R,r,truck,9846
21849,873.96,R,m,car,9911
22351,894.04,R,l,truck,10344
23121,924.84,L,r,truck,10754
23624,944.96,R,r,truck,11012
24003,960.12,R,m,truck,11161
24162,966.48,L,r,truck,11202
25349,1013.96,L,r,truck,11703
25362,1014.48,L,m,car,11742
25383,1015.32,R,m,truck,11741
25866,1034.64,L,m,car,11984
25957,1038.28,L,r,truck,11980
25972,1038.88,R,m,truck,12071
26022,1040.88,R,r,bus,12087
26125,1045,L,r,car,12118
26191,1047.64,R,r,bus,12155
26199,1047.96,R,r,car,12173
26600,1064,R,m,truck,12409
26847,1073.88,R,l,truck,12576
26852,1074.08,R,r,car,12567
26874,1074.96,R,m,truck,12554
26977,1079.08,R,l,truck,12608
27195,1087.8,R,r,truck,12729
27329,1093.16,L,r,truck,12821
28011,1120.44,R,m,car,13155
28521,1140.84,L,r,truck,13361
29571,1182.84,L,m,car,14036
29868,1194.72,L,r,truck,14164
30026,1201.04,R,m,bus,14307
30038,1201.52,L,r,truck,14253
30070,1202.8,L,m,car,14320
30370,1214.8,R,r,bus,14406
30401,1216.04,R,m,truck,14428
30441,1217.64,R,m,car,14452
30550,1222,R,l,car,14519
30602,1224.08,R,m,truck,14562
30678,1227.12,R,r,bus,14573
30785,1231.4,R,l,truck,14615
30823,1232.92,L,m,truck,14596
31264,1250.56,L,r,car,14826
31451,1258.04,L,r,car,14866
31623,1264.92,R,r,truck,15031
32692,1307.68,R,r,bus,15543
32703,1308.12,L,m,truck,15567
33046,1321.84,R,r,car,15706
33382,1335.28,L,l,car,15916
33502,1340.08,L,r,truck,15927
33824,1352.96,R,r,truck,16094
34113,1364.52,L,r,bus,16277
34179,1367.16,L,r,bus,16287
34272,1370.88,R,m,car,16364
34324,1372.96,L,l,truck,16377
34363,1374.52,R,r,truck,16445
34601,1384.04,R,r,bus,16633
34808,1392.32,L,r,truck,16777
35174,1406.96,R,r,car,16955
35231,1409.24,L,r,car,16998
35429,1417.16,R,r,truck,17073
35501,1420.04,R,r,truck,17107
36390,1455.6,R,r,truck,17523
36584,1463.36,L,l,car,17647
36719,1468.76,L,r,truck,17716
36812,1472.48,L,r,truck,17780
36881,1475.24,L,r,truck,17758
37056,1482.24,L,l,truck,17887
37212,1488.48,R,r,truck,17926
37438,1497.52,L,r,car,18038
37647,1505.88,R,r,truck,18139
37945,1517.8,R,r,truck,18274
38025,1521,L,m,car,18281
38426,1537.04,R,m,car,18441
38537,1541.48,L,m,truck,18490
38555,1542.2,L,r,truck,18479
38606,1544.24,R,r,bus,18521
38900,1556,R,l,truck,18695
39117,1564.68,R,m,car,18798
39125,1565,R,r,car,18780
39174,1566.96,R,m,bus,18823
39195,1567.8,L,m,car,18761
39201,1568.04,L,r,car,18727
39551,1582.04,L,r,truck,19033
39663,1586.52,L,r,truck,19067
39673,1586.92,L,r,truck,19142
39912,1596.48,L,r,truck,19278
40037,1601.48,R,l,truck,19341
40363,1614.52,R,r,truck,19484
40392,1615.68,R,r,truck,19494
41014,1640.56,L,r,truck,19716
41032,1641.28,L,m,truck,19715
41051,1642.04,R,r,truck,19777
41640,1665.6,R,m,bus,19987
41717,1668.68,L,r,truck,20027
41918,1676.72,R,m,truck,20144
42029,1681.16,R,r,car,20211
42240,1689.6,R,r,bus,20369
43044,1721.76,R,m,car,20687
43066,1722.64,R,m,car,20693
43103,1724.12,L,r,truck,20735
43213,1728.52,R,r,truck,20788
43388,1735.52,R,l,car,20881
43821,1752.84,L,r,car,21001
43923,1756.92,L,l,car,21169
43936,1757.44,L,r,truck,21109
44091,1763.64,R,r,car,21279
44408,1776.32,R,l,truck,21543
44754,1790.16,R,r,car,21690
44814,1792.56,R,l,truck,21706
44975,1799,R,r,car,21795
45000,1800,R,l,car,21808
45061,1802.44,R,r,car,21854
45104,1804.16,L,m,truck,21906
45302,1812.08,R,m,car,22029
45385,1815.4,R,m,car,22079
45467,1818.68,R,r,car,22134
45499,1819.96,R,r,car,22150
45533,1821.32,L,l,car,22097
45557,1822.28,R,r,car,22181
45746,1829.84,L,r,truck,22284
45764,1830.56,R,m,car,22309
45807,1832.28,R,r,truck,22348
46617,1864.68,R,r,truck,22884
46679,1867.16,R,r,truck,22903
46795,1871.8,R,r,bus,22954
