frame_index,time,vehicle_num,vehicle_num_l,vehicle_num_r
0,0.0,0,0,0
25,1.0,5,1,4
50,2.0,6,1,5
75,3.0,4,1,3
100,4.0,3,1,2
125,5.0,3,0,3
150,6.0,2,0,2
175,7.0,2,1,1
200,8.0,1,0,1
225,9.0,6,2,4
250,10.0,6,3,3
275,11.0,2,2,0
300,12.0,3,3,0
325,13.0,4,3,1
350,14.0,5,4,1
375,15.0,5,4,1
400,16.0,7,6,1
425,17.0,7,6,1
450,18.0,4,3,1
475,19.0,5,2,3
500,20.0,6,4,2
525,21.0,7,5,2
550,22.0,6,4,2
575,23.0,4,4,0
600,24.0,6,5,1
625,25.0,5,3,2
650,26.0,5,2,3
675,27.0,4,1,3
700,28.0,3,0,3
725,29.0,3,0,3
750,30.0,3,0,3
775,31.0,6,3,3
800,32.0,8,4,4
825,33.0,6,3,3
850,34.0,6,3,3
875,35.0,7,2,5
900,36.0,6,3,3
925,37.0,8,7,1
950,38.0,9,6,3
975,39.0,8,6,2
1000,40.0,8,4,4
1025,41.0,7,4,3
1050,42.0,5,3,2
1075,43.0,4,1,3
1100,44.0,6,2,4
1125,45.0,9,3,6
1150,46.0,11,4,7
1175,47.0,9,3,6
1200,48.0,7,3,4
1225,49.0,8,3,5
1250,50.0,3,1,2
1275,51.0,5,0,5
1300,52.0,4,1,3
1325,53.0,6,2,4
1350,54.0,4,1,3
1375,55.0,4,3,1
1400,56.0,5,2,3
1425,57.0,5,2,3
1450,58.0,6,1,5
1475,59.0,7,2,5
1500,60.0,8,2,6
1525,61.0,11,7,4
1550,62.0,9,5,4
1575,63.0,10,4,6
1600,64.0,8,4,4
1625,65.0,3,2,1
1650,66.0,7,3,4
1675,67.0,6,2,4
1700,68.0,8,4,4
1725,69.0,12,4,8
1750,70.0,10,3,7
1775,71.0,8,1,7
1800,72.0,6,1,5
1825,73.0,6,1,5
1850,74.0,14,7,7
1875,75.0,9,5,4
1900,76.0,6,2,4
1925,77.0,7,2,5
1950,78.0,6,1,5
1975,79.0,6,1,5
2000,80.0,3,1,2
