frame_index,time,road,vehicle_class,vehicle_id,"track_type,"
25,1.0,R,car,1,in
25,1.0,R,car,3,in
25,1.0,R,car,7,in
25,1.0,R,car,8,in
25,1.0,L,car,12,in
50,2.0,R,car,4,in
50,2.0,R,car,19,in
50,2.0,R,car,20,in
50,2.0,R,car,7,out
50,2.0,R,car,8,out
75,3.0,R,car,25,in
75,3.0,L,car,26,in
75,3.0,R,car,3,out
75,3.0,L,car,12,out
75,3.0,R,car,4,out
75,3.0,R,car,19,out
100,4.0,R,car,1,out
125,5.0,R,car,30,in
125,5.0,L,car,26,out
150,6.0,R,truck,36,in
150,6.0,R,car,20,out
150,6.0,R,car,25,out
175,7.0,L,truck,48,in
175,7.0,R,car,30,out
200,8.0,R,car,50,in
200,8.0,R,truck,36,out
200,8.0,L,truck,48,out
225,9.0,R,truck,36,in
225,9.0,L,truck,48,in
225,9.0,R,car,55,in
225,9.0,R,car,61,in
225,9.0,L,truck,65,in
250,10.0,L,truck,68,in
250,10.0,R,car,61,out
275,11.0,R,car,50,out
275,11.0,R,truck,36,out
275,11.0,R,car,55,out
275,11.0,L,truck,65,out
300,12.0,L,car,85,in
300,12.0,L,truck,86,in
300,12.0,L,truck,48,out
325,13.0,L,truck,65,in
325,13.0,R,car,88,in
325,13.0,L,truck,86,out
350,14.0,L,truck,109,in
375,15.0,R,car,102,in
375,15.0,L,truck,113,in
375,15.0,L,car,124,in
375,15.0,L,truck,68,out
375,15.0,L,car,85,out
375,15.0,R,car,88,out
400,16.0,L,truck,133,in
400,16.0,L,car,137,in
400,16.0,L,car,145,in
400,16.0,R,car,147,in
400,16.0,R,car,102,out
400,16.0,L,car,124,out
425,17.0,L,truck,140,in
425,17.0,L,truck,157,in
425,17.0,L,truck,65,out
425,17.0,L,truck,109,out
450,18.0,L,truck,113,out
450,18.0,L,truck,133,out
450,18.0,L,car,137,out
475,19.0,R,car,166,in
475,19.0,R,bus,168,in
475,19.0,L,truck,175,in
475,19.0,L,car,145,out
475,19.0,L,truck,157,out
500,20.0,L,truck,157,in
500,20.0,L,truck,180,in
500,20.0,L,truck,181,in
500,20.0,R,car,191,in
500,20.0,R,car,147,out
500,20.0,R,bus,168,out
500,20.0,L,truck,175,out
525,21.0,L,truck,113,in
525,21.0,L,car,200,in
525,21.0,L,truck,157,out
550,22.0,R,bus,168,in
550,22.0,L,bus,207,in
550,22.0,L,truck,181,out
550,22.0,R,car,191,out
550,22.0,L,truck,113,out
575,23.0,L,car,212,in
575,23.0,L,car,213,in
575,23.0,L,truck,140,out
575,23.0,R,car,166,out
575,23.0,L,truck,180,out
575,23.0,R,bus,168,out
600,24.0,L,truck,180,in
600,24.0,L,truck,222,in
600,24.0,R,car,224,in
600,24.0,L,car,226,in
600,24.0,L,car,227,in
600,24.0,L,car,200,out
600,24.0,L,bus,207,out
600,24.0,L,car,212,out
625,25.0,R,car,240,in
625,25.0,L,car,213,out
625,25.0,L,truck,180,out
650,26.0,R,car,244,in
650,26.0,R,car,247,in
650,26.0,L,truck,222,out
650,26.0,L,car,226,out
675,27.0,R,car,249,in
675,27.0,L,car,227,out
675,27.0,R,car,247,out
700,28.0,R,car,257,in
700,28.0,R,car,224,out
700,28.0,R,car,240,out
750,30.0,R,car,281,in
750,30.0,R,car,244,out
775,31.0,R,car,244,in
775,31.0,L,car,288,in
775,31.0,L,truck,293,in
775,31.0,L,car,296,in
775,31.0,R,car,249,out
800,32.0,R,car,249,in
800,32.0,R,car,301,in
800,32.0,R,car,302,in
800,32.0,L,car,305,in
800,32.0,R,car,257,out
800,32.0,R,car,244,out
825,33.0,R,car,313,in
825,33.0,R,car,320,in
825,33.0,R,car,281,out
825,33.0,L,car,288,out
825,33.0,R,car,249,out
825,33.0,R,car,302,out
850,34.0,L,car,303,in
850,34.0,L,car,307,in
850,34.0,L,truck,343,in
850,34.0,L,truck,293,out
850,34.0,L,car,296,out
850,34.0,L,car,305,out
875,35.0,L,car,345,in
875,35.0,R,car,347,in
875,35.0,R,car,348,in
875,35.0,R,car,301,out
875,35.0,L,car,307,out
900,36.0,R,truck,353,in
900,36.0,L,car,357,in
900,36.0,L,car,372,in
900,36.0,R,car,374,in
900,36.0,R,car,313,out
900,36.0,R,car,320,out
900,36.0,L,car,303,out
900,36.0,R,car,347,out
900,36.0,R,car,348,out
925,37.0,L,truck,370,in
925,37.0,L,car,383,in
925,37.0,L,car,387,in
925,37.0,L,car,390,in
925,37.0,L,truck,391,in
925,37.0,L,truck,343,out
925,37.0,L,car,345,out
925,37.0,L,car,372,out
950,38.0,L,car,382,in
950,38.0,R,truck,400,in
950,38.0,R,car,401,in
950,38.0,L,truck,370,out
950,38.0,L,car,390,out
975,39.0,R,truck,404,in
975,39.0,L,car,407,in
975,39.0,L,car,410,in
975,39.0,R,truck,353,out
975,39.0,L,car,357,out
975,39.0,L,car,387,out
975,39.0,R,car,401,out
1000,40.0,R,car,401,in
1000,40.0,L,car,406,in
1000,40.0,R,car,424,in
1000,40.0,L,car,426,in
1000,40.0,R,car,435,in
1000,40.0,L,car,383,out
1000,40.0,L,truck,391,out
1000,40.0,L,car,382,out
1000,40.0,R,truck,404,out
1000,40.0,L,car,410,out
1025,41.0,R,car,424,out
1050,42.0,L,car,442,in
1050,42.0,R,car,454,in
1050,42.0,R,car,374,out
1050,42.0,R,truck,400,out
1050,42.0,L,car,407,out
1050,42.0,R,car,401,out
1075,43.0,R,car,462,in
1075,43.0,L,car,406,out
1075,43.0,L,car,426,out
1100,44.0,L,truck,473,in
1100,44.0,R,car,480,in
1125,45.0,L,truck,477,in
1125,45.0,R,car,481,in
1125,45.0,R,car,482,in
1125,45.0,R,car,488,in
1125,45.0,L,bus,490,in
1125,45.0,R,car,435,out
1125,45.0,L,car,442,out
1150,46.0,R,car,496,in
1150,46.0,R,car,499,in
1150,46.0,R,truck,500,in
1150,46.0,L,truck,501,in
1150,46.0,R,car,488,out
1150,46.0,L,bus,490,out
1175,47.0,R,truck,511,in
1175,47.0,R,car,454,out
1175,47.0,R,car,462,out
1175,47.0,L,truck,477,out
1200,48.0,R,car,462,in
1200,48.0,R,bus,519,in
1200,48.0,L,car,521,in
1200,48.0,R,car,482,out
1200,48.0,R,car,496,out
1200,48.0,R,car,499,out
1200,48.0,L,truck,501,out
1200,48.0,R,truck,511,out
1225,49.0,L,truck,511,in
1225,49.0,R,car,527,in
1225,49.0,R,truck,531,in
1225,49.0,L,truck,473,out
1225,49.0,R,car,480,out
1250,50.0,R,car,538,in
1250,50.0,R,car,481,out
1250,50.0,R,truck,500,out
1250,50.0,R,car,462,out
1250,50.0,R,bus,519,out
1250,50.0,L,truck,511,out
1250,50.0,R,truck,531,out
1275,51.0,R,car,496,in
1275,51.0,R,bus,519,in
1275,51.0,R,car,544,in
1275,51.0,L,car,521,out
1300,52.0,L,truck,511,in
1300,52.0,R,car,496,out
1300,52.0,R,bus,519,out
1325,53.0,R,bus,519,in
