frame_index,time,road,lane,vehicle_class,vehicle_id,event_type
79,3.16,R,r,car,20,cruise
737,29.48,R,r,truck,291,cruise
753,30.12,L,m,truck,318,overdrive
898,35.92,R,r,car,365,overdrive
1025,41.0,R,m,truck,419,cruise
1163,46.52,R,m,car,532,overdrive
1176,47.04,R,r,car,551,overdrive
1274,50.96,L,m,car,616,overdrive
1310,52.4,L,m,truck,612,overdrive
1399,55.96,L,m,car,674,overdrive
1410,56.4,L,r,car,694,overdrive
1416,56.64,R,l,car,691,overdrive
1495,59.8,R,r,car,721,overdrive
1570,62.8,R,l,car,734,overdrive
1589,63.56,R,m,truck,735,cruise
1695,67.8,L,m,car,792,overdrive
1707,68.28,L,m,car,796,overdrive
1754,70.16,R,l,car,837,overdrive
1768,70.72,R,m,car,847,overdrive
1856,74.24,R,l,car,876,overdrive
1896,75.84,L,r,truck,901,overdrive
1995,79.8,R,m,bus,940,cruise
2417,96.68,L,m,car,1225,overdrive
2460,98.4,L,m,car,1243,overdrive
2750,110.0,L,m,car,1392,overdrive
2800,112.0,L,m,car,1466,overdrive
3312,132.48,L,m,car,1716,overdrive
3524,140.96,R,l,car,1787,overdrive
3531,141.24,L,m,car,1784,overdrive
3573,142.92,R,l,car,1795,overdrive
3785,151.4,L,m,car,1846,overdrive
3853,154.12,R,l,car,1871,overdrive
3921,156.84,R,l,car,1906,overdrive
4065,162.6,L,m,car,1977,overdrive
4164,166.56,R,l,car,2008,overdrive
4208,168.32,R,l,truck,2033,overdrive
4214,168.56,L,m,car,2013,overdrive
4239,169.56,R,m,car,2053,overdrive
4343,173.72,R,m,car,2082,overdrive
4604,184.16,R,l,car,2203,overdrive
4688,187.52,L,r,truck,2257,cruise
4992,199.68,R,l,car,2405,overdrive
5005,200.2,R,r,car,2392,cruise
5382,215.28,R,m,car,2584,overdrive
5658,226.32,R,m,truck,2708,cruise
6108,244.32,R,m,truck,2818,cruise
6717,268.68,L,m,car,3113,overdrive
6886,275.44,L,m,car,3196,overdrive
6969,278.76,R,r,truck,3239,cruise
7019,280.76,R,l,truck,3264,overdrive
7096,283.84,L,r,truck,3293,overdrive
7104,284.16,L,r,truck,3298,overdrive
7280,291.2,R,l,car,3350,overdrive
7358,294.32,L,m,car,3388,overdrive
7453,298.12,L,m,car,3437,overdrive
7516,300.64,R,r,bus,3468,cruise
7611,304.44,L,m,car,3523,overdrive
7692,307.68,R,r,bus,3555,overdrive
8280,331.2,R,m,car,3751,overdrive
8340,333.6,L,m,car,3757,overdrive
8361,334.44,L,m,truck,3762,overdrive
8452,338.08,R,l,car,3809,overdrive
8463,338.52,L,m,car,3814,overdrive
8488,339.52,L,m,car,3819,overdrive
8491,339.64,R,l,car,3822,overdrive
8511,340.44,L,m,car,3791,overdrive
8590,343.6,L,r,truck,3874,overdrive
8597,343.88,L,m,car,3870,overdrive
8696,347.84,R,m,car,3919,overdrive
8785,351.4,L,m,truck,3962,overdrive
8822,352.88,R,r,truck,3972,overdrive
9215,368.6,R,m,car,4096,overdrive
9275,371.0,R,m,car,4127,overdrive
9287,371.48,L,m,car,4131,overdrive
9340,373.6,R,l,car,4170,overdrive
9438,377.52,R,l,car,4195,overdrive
9669,386.76,R,m,truck,4300,overdrive
9695,387.8,L,m,car,4298,overdrive
9723,388.92,L,m,car,4312,overdrive
9750,390.0,L,m,car,4331,overdrive
9784,391.36,R,m,truck,4350,overdrive
10074,402.96,R,r,car,4463,cruise
10326,413.04,R,r,truck,4562,cruise
10378,415.12,R,r,truck,4608,cruise
10690,427.6,L,m,car,4751,overdrive
10930,437.2,L,m,car,4894,overdrive
10989,439.56,R,l,car,4927,overdrive
11091,443.64,R,l,car,4948,overdrive
11213,448.52,R,l,car,4995,overdrive
11250,450.0,L,r,truck,5027,overdrive
11258,450.32,L,m,truck,5020,overdrive
11260,450.4,L,m,truck,5005,cruise
11368,454.72,R,r,truck,5082,cruise
11687,467.48,R,m,car,5158,overdrive
11872,474.88,R,r,truck,5199,cruise
11885,475.4,R,l,car,5208,overdrive
12103,484.12,R,m,car,5255,cruise
12188,487.52,L,m,car,5277,overdrive
12192,487.68,R,l,car,5279,overdrive
12245,489.8,L,m,car,5292,overdrive
12281,491.24,L,m,car,5324,overdrive
12349,493.96,R,l,truck,5346,overdrive
12446,497.84,R,l,car,5380,overdrive
12503,500.12,R,r,truck,5387,cruise
12706,508.24,R,l,car,5440,cruise
12759,510.36,L,r,truck,5446,cruise
12871,514.84,L,r,truck,5536,overdrive
12880,515.2,R,r,car,5507,cruise
13052,522.08,R,r,truck,5605,cruise
13319,532.76,L,r,truck,5680,cruise
13684,547.36,L,m,car,5779,overdrive
13905,556.2,L,m,car,5923,overdrive
14347,573.88,L,m,car,6165,overdrive
14414,576.56,L,m,car,6221,overdrive
14484,579.36,R,r,bus,6273,cruise
14685,587.4,L,m,car,6367,overdrive
14842,593.68,R,r,truck,6491,cruise
15139,605.56,L,m,car,6658,overdrive
15216,608.64,L,m,car,6739,overdrive
15252,610.08,R,r,truck,6756,cruise
15261,610.44,L,m,car,6771,overdrive
15463,618.52,L,r,truck,6872,overdrive
15622,624.88,L,m,bus,6936,overdrive
15631,625.24,R,l,bus,6935,cruise
16321,652.84,R,r,truck,7232,cruise
16786,671.44,R,m,truck,7481,cruise
16884,675.36,L,m,truck,7531,overdrive
17034,681.36,L,m,car,7582,overdrive
17071,682.84,L,r,car,7598,overdrive
17072,682.88,L,m,car,7583,overdrive
17110,684.4,R,l,car,7606,overdrive
17218,688.72,R,l,car,7633,overdrive
17307,692.28,R,r,truck,7660,overdrive
17478,699.12,L,m,car,7714,overdrive
17595,703.8,R,m,bus,7745,overdrive
17850,714.0,R,m,car,7879,overdrive
17920,716.8,L,m,truck,7957,overdrive
17963,718.52,L,l,car,7919,overdrive
18131,725.24,L,l,car,8057,overdrive
18145,725.8,R,l,car,8104,overdrive
18191,727.64,L,r,truck,8061,cruise
18320,732.8,R,l,car,8225,overdrive
18374,734.96,L,m,car,8249,overdrive
18593,743.72,R,m,truck,8360,overdrive
18601,744.04,R,r,truck,8369,overdrive
18635,745.4,R,m,bus,8372,overdrive
18638,745.52,L,m,car,8376,overdrive
18791,751.64,L,r,car,8434,cruise
18800,752.0,L,r,bus,8444,cruise
18939,757.56,R,m,truck,8535,cruise
19073,762.92,L,m,car,8583,overdrive
19142,765.68,L,m,car,8621,overdrive
19169,766.76,L,m,car,8628,overdrive
19348,773.92,L,m,car,8723,overdrive
19478,779.12,R,r,truck,8745,cruise
19644,785.76,R,l,car,8807,overdrive
20246,809.84,L,r,truck,8974,cruise
20579,823.16,L,m,car,9143,overdrive
20834,833.36,L,m,car,9259,overdrive
20881,835.24,L,m,car,9271,overdrive
21142,845.68,R,m,truck,9390,cruise
21423,856.92,L,m,car,9506,overdrive
21560,862.4,L,m,car,9560,overdrive
21595,863.8,L,m,car,9577,overdrive
21633,865.32,L,r,car,9574,cruise
21701,868.04,L,m,car,9638,overdrive
21719,868.76,L,m,car,9667,overdrive
21819,872.76,L,m,car,9731,overdrive
21855,874.2,R,r,bus,9739,cruise
22329,893.16,R,r,car,9941,overdrive
22468,898.72,L,m,car,9992,overdrive
22493,899.72,L,m,car,10016,overdrive
22525,901.0,L,r,truck,9987,cruise
22727,909.08,L,m,car,10151,overdrive
23037,921.48,L,m,car,10302,overdrive
23041,921.64,R,l,truck,10299,cruise
23133,925.32,L,m,car,10340,overdrive
23243,929.72,L,l,car,10409,overdrive
23247,929.88,L,r,car,10410,overdrive
23358,934.32,L,m,car,10505,overdrive
23461,938.44,R,m,truck,10562,cruise
23483,939.32,L,m,car,10582,overdrive
23603,944.12,R,r,truck,10554,cruise
23678,947.12,L,m,car,10674,overdrive
23795,951.8,L,r,car,10728,cruise
23813,952.52,L,m,car,10743,overdrive
23838,953.52,L,m,car,10769,overdrive
23886,955.44,R,m,car,10784,cruise
23923,956.92,L,m,car,10808,overdrive
24432,977.28,R,m,bus,11002,cruise
24459,978.36,R,m,truck,11019,cruise
25033,1001.32,R,r,car,11287,cruise
25227,1009.08,R,m,truck,11389,cruise
25416,1016.64,R,r,car,11505,cruise
25442,1017.68,L,m,car,11520,overdrive
25526,1021.04,R,m,car,11607,overdrive
25884,1035.36,L,m,car,11786,overdrive
26111,1044.44,R,r,truck,11923,cruise
26153,1046.12,R,r,truck,11938,cruise
26189,1047.56,L,m,car,11987,overdrive
26306,1052.24,R,m,truck,12047,overdrive
26427,1057.08,L,m,car,12096,overdrive
26429,1057.16,L,r,truck,12107,cruise
26473,1058.92,L,m,car,12120,overdrive
26635,1065.4,L,m,truck,12260,overdrive
26945,1077.8,L,m,truck,12493,overdrive
27064,1082.56,L,r,car,12501,cruise
27070,1082.8,L,r,truck,12570,cruise
27261,1090.44,L,m,car,12641,overdrive
27286,1091.44,L,m,car,12665,overdrive
27407,1096.28,L,m,car,12733,overdrive
27408,1096.32,R,m,car,12747,overdrive
27419,1096.76,R,r,car,12739,cruise
27614,1104.56,R,r,car,12837,overdrive
28153,1126.12,L,m,car,13140,overdrive
28263,1130.52,L,r,bus,13201,cruise
28318,1132.72,L,l,car,13219,overdrive
28601,1144.04,L,r,truck,13394,overdrive
28694,1147.76,L,m,car,13449,overdrive
28731,1149.24,L,r,truck,13480,overdrive
28766,1150.64,L,m,car,13484,overdrive
29113,1164.52,R,r,truck,13664,cruise
29236,1169.44,R,r,car,13729,cruise
29319,1172.76,R,r,truck,13792,cruise
29355,1174.2,R,m,bus,13822,cruise
29361,1174.44,R,r,truck,13817,cruise
29410,1176.4,R,r,truck,13876,cruise
29436,1177.44,L,r,truck,13906,overdrive
29889,1195.56,R,l,truck,14138,overdrive
30000,1200.0,L,r,truck,14147,cruise
30098,1203.92,L,m,car,14208,overdrive
30215,1208.6,L,l,car,14282,overdrive
30248,1209.92,L,m,car,14351,overdrive
30260,1210.4,R,m,truck,14340,cruise
30426,1217.04,L,m,car,14461,overdrive
30437,1217.48,L,m,car,14459,overdrive
30609,1224.36,R,r,car,14623,cruise
30761,1230.44,L,m,car,14713,overdrive
30909,1236.36,L,r,truck,14761,overdrive
31330,1253.2,R,l,car,15049,overdrive
31378,1255.12,L,m,car,15058,overdrive
31386,1255.44,L,m,car,15060,overdrive
31402,1256.08,R,r,truck,15059,cruise
31457,1258.28,L,m,car,15111,overdrive
31561,1262.44,R,l,truck,15161,overdrive
31613,1264.52,L,m,car,15176,overdrive
31675,1267.0,L,m,car,15199,overdrive
31710,1268.4,L,m,car,15216,overdrive
31743,1269.72,R,l,truck,15247,overdrive
31750,1270.0,L,m,car,15244,overdrive
31788,1271.52,R,m,car,15305,overdrive
31824,1272.96,R,r,truck,15335,overdrive
31925,1277.0,L,m,car,15362,overdrive
32088,1283.52,L,m,car,15393,overdrive
32161,1286.44,L,m,car,15428,overdrive
32178,1287.12,R,r,car,15447,cruise
32232,1289.28,L,m,car,15470,overdrive
32405,1296.2,R,m,truck,15534,overdrive
32422,1296.88,L,m,car,15547,overdrive
32427,1297.08,R,r,bus,15548,overdrive
32463,1298.52,L,m,car,15573,overdrive
32579,1303.16,R,r,truck,15622,cruise
32585,1303.4,L,m,car,15653,overdrive
32784,1311.36,L,m,car,15765,overdrive
32827,1313.08,L,m,car,15776,overdrive
32852,1314.08,L,m,car,15800,overdrive
32999,1319.96,L,m,car,15858,overdrive
33053,1322.12,L,m,car,15904,overdrive
33169,1326.76,R,m,truck,15995,overdrive
33359,1334.36,L,m,car,16053,overdrive
33510,1340.4,L,r,car,16165,cruise
33633,1345.32,L,m,truck,16236,overdrive
33644,1345.76,L,l,car,16229,overdrive
33890,1355.6,L,r,truck,16364,overdrive
33963,1358.52,L,r,truck,16348,cruise
34088,1363.52,L,m,car,16428,overdrive
34204,1368.16,L,r,car,16430,cruise
34288,1371.52,R,m,truck,16545,overdrive
34498,1379.92,L,m,car,16607,overdrive
34529,1381.16,R,m,car,16622,overdrive
34733,1389.32,L,m,car,16672,overdrive
34792,1391.68,L,r,car,16689,overdrive
34868,1394.72,L,m,car,16719,overdrive
35218,1408.72,R,m,truck,16833,cruise
35283,1411.32,R,r,truck,16866,cruise
35379,1415.16,R,r,car,16908,cruise
35475,1419.0,R,l,truck,16982,cruise
35497,1419.88,L,m,car,16996,overdrive
35503,1420.12,R,m,bus,16984,cruise
35517,1420.68,L,m,car,17000,overdrive
35542,1421.68,L,r,truck,17054,overdrive
35865,1434.6,L,r,truck,17204,cruise
35882,1435.28,R,r,truck,17252,cruise
35900,1436.0,L,r,truck,17233,cruise
35941,1437.64,L,r,truck,17220,cruise
36087,1443.48,L,r,bus,17370,overdrive
36278,1451.12,R,m,truck,17441,cruise
36286,1451.44,R,r,truck,17442,cruise
36718,1468.72,R,l,car,17648,overdrive
36801,1472.04,R,l,car,17669,overdrive
37019,1480.76,L,m,car,17755,overdrive
37036,1481.44,L,m,car,17761,overdrive
37058,1482.32,L,m,car,17768,overdrive
37190,1487.6,L,m,car,17850,overdrive
37210,1488.4,L,m,car,17890,overdrive
37278,1491.12,L,m,car,17921,overdrive
37389,1495.56,R,r,truck,17938,cruise
37582,1503.28,L,r,bus,18000,cruise
38058,1522.32,L,m,truck,18219,overdrive
38188,1527.52,L,m,truck,18280,overdrive
38968,1558.72,L,m,car,18658,overdrive
38987,1559.48,L,m,car,18625,overdrive
39138,1565.52,R,m,car,18747,overdrive
39268,1570.72,R,r,car,18788,cruise
39418,1576.72,L,m,car,18894,overdrive
39494,1579.76,L,m,car,18920,overdrive
39500,1580.0,R,r,car,18912,cruise
39708,1588.32,R,l,car,19010,overdrive
39824,1592.96,L,m,car,19039,overdrive
40073,1602.92,L,r,car,19149,overdrive
40077,1603.08,L,r,truck,19152,overdrive
40103,1604.12,R,m,car,19156,cruise
40229,1609.16,L,m,car,19231,overdrive
40263,1610.52,R,m,car,19256,overdrive
40517,1620.68,L,m,car,19336,overdrive
40772,1630.88,R,r,truck,19454,cruise
41020,1640.8,R,m,truck,19617,cruise
41220,1648.8,L,l,car,19799,overdrive
41501,1660.04,L,m,truck,20009,overdrive
41599,1663.96,R,l,car,20053,overdrive
41705,1668.2,R,l,car,20121,overdrive
41773,1670.92,R,l,car,20155,overdrive
41937,1677.48,R,l,car,20237,overdrive
42075,1683.0,R,m,car,20325,overdrive
42093,1683.72,L,m,car,20327,overdrive
42224,1688.96,L,m,car,20389,overdrive
42427,1697.08,L,m,car,20562,overdrive
42587,1703.48,L,r,truck,20639,cruise
42678,1707.12,L,r,car,20691,overdrive
42688,1707.52,L,l,car,20697,overdrive
42782,1711.28,L,m,car,20756,overdrive
42864,1714.56,L,m,truck,20827,overdrive
42894,1715.76,L,m,car,20855,overdrive
42950,1718.0,L,l,car,20881,overdrive
43000,1720.0,L,m,car,20902,overdrive
43077,1723.08,L,m,car,20944,overdrive
43138,1725.52,L,r,bus,20985,overdrive
43237,1729.48,L,m,car,21011,overdrive
43396,1735.84,R,r,truck,21049,cruise
43450,1738.0,R,r,car,21079,cruise
43631,1745.24,L,m,car,21155,overdrive
43917,1756.68,L,l,car,21271,overdrive
43983,1759.32,R,r,car,21301,cruise
44026,1761.04,R,r,truck,21352,overdrive
44035,1761.4,L,m,car,21335,overdrive
44037,1761.48,L,r,truck,21337,overdrive
44093,1763.72,L,l,car,21379,overdrive
44270,1770.8,L,m,truck,21468,overdrive
44310,1772.4,R,m,truck,21517,overdrive
44546,1781.84,L,m,car,21634,overdrive
44759,1790.36,L,m,truck,21709,overdrive
44804,1792.16,R,r,car,21747,cruise
44835,1793.4,R,r,truck,21765,cruise
44849,1793.96,R,l,car,21774,overdrive
45142,1805.68,L,m,car,21882,overdrive
45205,1808.2,L,m,car,21933,overdrive
45250,1810.0,R,m,car,21939,cruise
45266,1810.64,R,r,truck,21940,cruise
45301,1812.04,R,r,car,21956,cruise
45336,1813.44,L,m,car,21998,overdrive
45352,1814.08,R,r,truck,22020,cruise
45429,1817.16,L,m,car,22061,overdrive
45488,1819.52,L,m,car,22091,overdrive
45538,1821.52,L,m,car,22134,overdrive
45538,1821.52,L,m,car,22190,cruise
45626,1825.04,R,r,truck,22237,cruise
45674,1826.96,R,l,truck,22264,cruise
45783,1831.32,R,r,car,22308,cruise
45901,1836.04,L,r,truck,22378,cruise
46022,1840.88,L,m,car,22461,overdrive
46039,1841.56,L,m,car,22493,overdrive
46052,1842.08,L,m,truck,22462,cruise
46219,1848.76,L,m,car,22639,overdrive
46351,1854.04,L,r,truck,22671,cruise
46457,1858.28,L,l,car,22842,overdrive
46496,1859.84,R,r,car,22839,cruise
46507,1860.28,R,r,truck,22874,cruise
46548,1861.92,L,m,car,22898,overdrive
46704,1868.16,R,m,car,23036,cruise
46770,1870.8,L,l,car,23086,overdrive
46829,1873.16,L,m,car,23109,overdrive
46863,1874.52,L,m,car,23151,overdrive
46882,1875.28,L,m,car,23180,overdrive
46912,1876.48,R,r,truck,23197,cruise
47336,1893.44,R,r,car,23514,cruise
47345,1893.8,R,l,car,23532,overdrive
47442,1897.68,L,m,car,23585,overdrive
47512,1900.48,L,l,car,23604,overdrive
47708,1908.32,R,r,bus,23699,cruise
47844,1913.76,R,r,bus,23802,cruise
47863,1914.52,L,r,truck,23787,cruise
47961,1918.44,L,m,car,23911,overdrive
48033,1921.32,R,r,truck,23986,cruise
48133,1925.32,L,m,car,24056,overdrive
48162,1926.48,R,m,car,24079,cruise
48176,1927.04,L,m,car,24129,overdrive
48249,1929.96,L,l,truck,24179,overdrive
48307,1932.28,R,l,car,24226,overdrive
48364,1934.56,R,l,truck,24263,cruise
48473,1938.92,L,r,truck,24318,cruise
48554,1942.16,L,m,car,24377,overdrive
48822,1952.88,L,r,truck,24480,cruise
48846,1953.84,L,m,car,24515,overdrive
48923,1956.92,L,m,car,24576,overdrive
48985,1959.4,L,l,car,24627,overdrive
49080,1963.2,L,m,car,24703,overdrive
49174,1966.96,L,m,car,24736,overdrive
49216,1968.64,L,m,car,24720,cruise
49246,1969.84,L,m,car,24808,overdrive
49356,1974.24,L,m,car,24865,overdrive
49448,1977.92,R,m,car,24886,overdrive
49628,1985.12,L,m,car,25047,overdrive
49762,1990.48,R,r,truck,25146,overdrive
50009,2000.36,L,r,truck,25254,cruise
50089,2003.56,L,m,car,25302,overdrive
50128,2005.12,L,r,truck,25336,cruise
50346,2013.84,L,m,car,25472,overdrive
50358,2014.32,R,l,car,25510,overdrive
50384,2015.36,L,m,car,25503,overdrive
50470,2018.8,L,l,car,25572,overdrive
50500,2020.0,L,m,car,25547,overdrive
51102,2044.08,L,m,car,25917,overdrive
51131,2045.24,L,m,car,25956,overdrive
51176,2047.04,L,m,car,26048,overdrive
51526,2061.04,R,r,bus,26192,cruise
51599,2063.96,L,r,truck,26186,cruise
51688,2067.52,L,m,truck,26327,overdrive
51846,2073.84,L,m,car,26402,overdrive
52408,2096.32,L,r,truck,26832,cruise
52535,2101.4,L,l,car,26961,overdrive
52839,2113.56,L,m,car,27176,overdrive
53038,2121.52,L,m,car,27214,overdrive
53038,2121.52,R,m,car,27215,overdrive
53132,2125.28,R,m,truck,27265,overdrive
53165,2126.6,L,m,car,27250,overdrive
53219,2128.76,L,l,car,27302,overdrive
53256,2130.24,R,l,car,27326,overdrive
53331,2133.24,R,l,car,27392,overdrive
53364,2134.56,R,m,car,27410,overdrive
53372,2134.88,L,m,car,27408,overdrive
53422,2136.88,L,m,car,27433,overdrive
53444,2137.76,R,l,car,27439,overdrive
53460,2138.4,L,m,car,27435,overdrive
53492,2139.68,R,l,truck,27465,overdrive
53590,2143.6,R,l,car,27501,overdrive
53671,2146.84,R,m,bus,27535,cruise
53674,2146.96,L,m,car,27546,overdrive
53719,2148.76,L,m,car,27573,overdrive
53820,2152.8,R,r,car,27598,cruise
53913,2156.52,R,m,car,27664,overdrive
54060,2162.4,L,r,truck,27781,overdrive
54092,2163.68,R,l,truck,27792,overdrive
54127,2165.08,L,r,truck,27804,cruise
54271,2170.84,R,m,car,27942,overdrive
54280,2171.2,L,r,car,27937,cruise
54481,2179.24,L,m,car,28030,overdrive
54485,2179.4,R,m,car,28043,overdrive
54734,2189.36,L,r,bus,28138,cruise
54736,2189.44,L,r,truck,28079,cruise
54757,2190.28,R,m,car,28198,overdrive
54772,2190.88,R,m,car,28211,overdrive
55252,2210.08,R,m,truck,28450,overdrive
55276,2211.04,R,m,car,28464,overdrive
55439,2217.56,R,m,car,28545,overdrive
55590,2223.6,R,r,truck,28616,cruise
55593,2223.72,L,m,truck,28642,overdrive
55598,2223.92,L,r,truck,28633,cruise
55842,2233.68,L,m,car,28770,overdrive
55848,2233.92,L,r,car,28768,cruise
55982,2239.28,L,l,car,28860,overdrive
56060,2242.4,L,m,car,28923,overdrive
56190,2247.6,L,m,car,29015,overdrive
56306,2252.24,R,l,car,29062,overdrive
56372,2254.88,R,l,car,29090,overdrive
56456,2258.24,R,l,car,29140,overdrive
56642,2265.68,L,m,car,29213,overdrive
56903,2276.12,R,l,car,29363,overdrive
56923,2276.92,L,m,car,29366,overdrive
57424,2296.96,L,m,truck,29589,overdrive
57486,2299.44,R,r,car,29624,cruise
57551,2302.04,R,l,truck,29695,overdrive
57842,2313.68,R,r,truck,29920,cruise
57974,2318.96,L,m,truck,29992,overdrive
58057,2322.28,R,r,car,30031,cruise
58152,2326.08,R,l,car,30070,overdrive
58171,2326.84,R,l,truck,30059,cruise
58172,2326.88,L,r,bus,30091,cruise
58209,2328.36,L,r,truck,30122,overdrive
58858,2354.32,R,r,truck,30399,cruise
58861,2354.44,L,r,car,30412,overdrive
58883,2355.32,L,r,truck,30425,cruise
