frame_index,time,road,vehicle_class,vehicle_id,speed,interval_time,lane
26,1.04,R,car,1,79.41176470588235,0,m
72,2.88,R,car,22,96.42857142857142,0,l
75,3.0,R,car,28,71.05263157894737,1.96,m
79,3.16,R,car,20,56.25,0,r
129,5.16,R,truck,34,96.42857142857142,2.16,m
136,5.44,R,truck,45,71.05263157894737,2.28,r
143,5.72,R,car,38,90.0,2.84,l
149,5.96,R,car,54,90.0,0.8,m
173,6.92,R,car,53,96.42857142857142,1.2,l
205,8.2,R,truck,63,84.375,2.24,m
206,8.24,R,bus,66,79.41176470588235,0.04,m
206,8.24,R,car,67,90.0,1.32,l
232,9.28,R,car,75,90.0,1.04,m
238,9.52,R,car,72,79.41176470588235,1.28,l
263,10.52,R,truck,93,67.5,5.08,r
263,10.52,R,car,95,96.42857142857142,1.24,m
269,10.76,R,car,90,90.0,1.24,l
308,12.32,R,car,100,96.42857142857142,1.56,l
310,12.4,R,car,102,103.84615384615384,1.88,m
341,13.64,R,car,121,103.84615384615384,1.24,m
344,13.76,R,car,112,71.05263157894737,3.24,r
358,14.32,R,car,130,103.84615384615384,2.0,l
392,15.68,R,car,148,84.375,2.04,m
406,16.24,L,truck,151,112.5,0.56,m
410,16.4,R,car,161,103.84615384615384,2.64,r
419,16.76,R,car,160,90.0,2.44,l
419,16.76,L,car,179,675.0,0.0,l
423,16.92,R,car,162,84.375,0.68,m
437,17.48,R,car,171,84.375,0.72,l
451,18.04,R,car,178,96.42857142857142,1.12,m
533,21.32,R,car,211,90.0,3.84,l
581,23.24,R,car,224,90.0,1.92,l
586,23.44,L,truck,216,84.375,7.04,r
609,24.36,R,car,249,112.5,1.12,l
620,24.8,R,car,246,96.42857142857142,6.76,m
628,25.12,R,car,248,84.375,0.32,m
630,25.2,R,truck,255,79.41176470588235,0.08,m
637,25.48,R,car,250,90.0,1.12,l
664,26.56,R,car,260,84.375,1.08,l
690,27.6,L,car,263,112.5,2.4,m
700,28.0,R,car,276,84.375,1.44,l
737,29.48,R,truck,291,46.55172413793104,6.04,r
742,29.68,L,car,316,450.0,2.08,m
