frame_index,time,road,lane,vehicle_class,vehicle_id,event_type,duration
79,3.16,R,r,car,20,cruise,"0,12"
737,29.48,R,r,truck,291,cruise,"0,12"
753,30.12,L,m,truck,318,overdrive,"0,12"
898,35.92,R,r,car,365,overdrive,"0,12"
1025,41,R,m,truck,419,cruise,"0,12"
1163,46.52,R,m,car,532,overdrive,"0,12"
1176,47.04,R,r,car,551,overdrive,"0,12"
1274,50.96,L,m,car,616,overdrive,"0,12"
1310,52.4,L,m,truck,612,overdrive,"0,12"
1399,55.96,L,m,car,674,overdrive,"0,12"
1410,56.4,L,r,car,694,overdrive,"0,12"
1416,56.64,R,l,car,691,overdrive,"0,12"
1495,59.8,R,r,car,721,overdrive,"0,12"
1570,62.8,R,l,car,734,overdrive,"0,12"
1589,63.56,R,m,truck,735,cruise,"0,12"
1695,67.8,L,m,car,792,overdrive,"0,12"
1707,68.28,L,m,car,796,overdrive,"0,12"
1754,70.16,R,l,car,837,overdrive,"0,12"
1768,70.72,R,m,car,847,overdrive,"0,12"
1856,74.24,R,l,car,876,overdrive,"0,12"
1896,75.84,L,r,truck,901,overdrive,"0,12"
1995,79.8,R,m,bus,940,cruise,"0,12"
2417,96.68,L,m,car,1225,overdrive,"0,12"
2460,98.4,L,m,car,1243,overdrive,"0,12"
2750,110,L,m,car,1392,overdrive,"0,12"
2800,112,L,m,car,1466,overdrive,"0,12"
3312,132.48,L,m,car,1716,overdrive,"0,12"
3524,140.96,R,l,car,1787,overdrive,"0,12"
3531,141.24,L,m,car,1784,overdrive,"0,12"
3573,142.92,R,l,car,1795,overdrive,"0,12"
3785,151.4,L,m,car,1846,overdrive,"0,12"
3853,154.12,R,l,car,1871,overdrive,"0,12"
3921,156.84,R,l,car,1906,overdrive,"0,12"
4065,162.6,L,m,car,1977,overdrive,"0,12"
4164,166.56,R,l,car,2008,overdrive,"0,12"
4208,168.32,R,l,truck,2033,overdrive,"0,12"
4214,168.56,L,m,car,2013,overdrive,"0,12"
4239,169.56,R,m,car,2053,overdrive,"0,12"
4343,173.72,R,m,car,2082,overdrive,"0,12"
4604,184.16,R,l,car,2203,overdrive,"0,12"
4688,187.52,L,r,truck,2257,cruise,"0,12"
4992,199.68,R,l,car,2405,overdrive,"0,12"
5005,200.2,R,r,car,2392,cruise,"0,12"
5382,215.28,R,m,car,2584,overdrive,"0,12"
5658,226.32,R,m,truck,2708,cruise,"0,12"
6108,244.32,R,m,truck,2818,cruise,"0,12"
6717,268.68,L,m,car,3113,overdrive,"0,12"
6886,275.44,L,m,car,3196,overdrive,"0,12"
6969,278.76,R,r,truck,3239,cruise,"0,12"
7019,280.76,R,l,truck,3264,overdrive,"0,12"
7096,283.84,L,r,truck,3293,overdrive,"0,12"
7104,284.16,L,r,truck,3298,overdrive,"0,12"
7280,291.2,R,l,car,3350,overdrive,"0,12"
7358,294.32,L,m,car,3388,overdrive,"0,12"
7453,298.12,L,m,car,3437,overdrive,"0,12"
7516,300.64,R,r,bus,3468,cruise,"0,12"
7611,304.44,L,m,car,3523,overdrive,"0,12"
7692,307.68,R,r,bus,3555,overdrive,"0,12"
8280,331.2,R,m,car,3751,overdrive,"0,12"
8340,333.6,L,m,car,3757,overdrive,"0,12"
8361,334.44,L,m,truck,3762,overdrive,"0,12"
8452,338.08,R,l,car,3809,overdrive,"0,12"
8463,338.52,L,m,car,3814,overdrive,"0,12"
8488,339.52,L,m,car,3819,overdrive,"0,12"
8491,339.64,R,l,car,3822,overdrive,"0,12"
8511,340.44,L,m,car,3791,overdrive,"0,12"
8590,343.6,L,r,truck,3874,overdrive,"0,12"
8597,343.88,L,m,car,3870,overdrive,"0,12"
8696,347.84,R,m,car,3919,overdrive,"0,12"
8785,351.4,L,m,truck,3962,overdrive,"0,12"
8822,352.88,R,r,truck,3972,overdrive,"0,12"
9215,368.6,R,m,car,4096,overdrive,"0,12"
9275,371,R,m,car,4127,overdrive,"0,12"
9287,371.48,L,m,car,4131,overdrive,"0,12"
9340,373.6,R,l,car,4170,overdrive,"0,12"
9438,377.52,R,l,car,4195,overdrive,"0,12"
9669,386.76,R,m,truck,4300,overdrive,"0,12"
9695,387.8,L,m,car,4298,overdrive,"0,12"
9723,388.92,L,m,car,4312,overdrive,"0,12"
9750,390,L,m,car,4331,overdrive,"0,12"
9784,391.36,R,m,truck,4350,overdrive,"0,12"
10074,402.96,R,r,car,4463,cruise,"0,12"
10326,413.04,R,r,truck,4562,cruise,"0,12"
10378,415.12,R,r,truck,4608,cruise,"0,12"
10690,427.6,L,m,car,4751,overdrive,"0,12"
10930,437.2,L,m,car,4894,overdrive,"0,12"
10989,439.56,R,l,car,4927,overdrive,"0,12"
11091,443.64,R,l,car,4948,overdrive,"0,12"
11213,448.52,R,l,car,4995,overdrive,"0,12"
11250,450,L,r,truck,5027,overdrive,"0,12"
11258,450.32,L,m,truck,5020,overdrive,"0,12"
11260,450.4,L,m,truck,5005,cruise,"0,12"
11368,454.72,R,r,truck,5082,cruise,"0,12"
11687,467.48,R,m,car,5158,overdrive,"0,12"
11872,474.88,R,r,truck,5199,cruise,"0,12"
11885,475.4,R,l,car,5208,overdrive,"0,12"
12103,484.12,R,m,car,5255,cruise,"0,12"
12188,487.52,L,m,car,5277,overdrive,"0,12"
12192,487.68,R,l,car,5279,overdrive,"0,12"
12245,489.8,L,m,car,5292,overdrive,"0,12"
12281,491.24,L,m,car,5324,overdrive,"0,12"
12349,493.96,R,l,truck,5346,overdrive,"0,12"
12446,497.84,R,l,car,5380,overdrive,"0,12"
12503,500.12,R,r,truck,5387,cruise,"0,12"
12706,508.24,R,l,car,5440,cruise,"0,12"
12759,510.36,L,r,truck,5446,cruise,"0,12"
12871,514.84,L,r,truck,5536,overdrive,"0,12"
12880,515.2,R,r,car,5507,cruise,"0,12"
13052,522.08,R,r,truck,5605,cruise,"0,12"
13319,532.76,L,r,truck,5680,cruise,"0,12"
13684,547.36,L,m,car,5779,overdrive,"0,12"
13905,556.2,L,m,car,5923,overdrive,"0,12"
14347,573.88,L,m,car,6165,overdrive,"0,12"
14414,576.56,L,m,car,6221,overdrive,"0,12"
14484,579.36,R,r,bus,6273,cruise,"0,12"
14685,587.4,L,m,car,6367,overdrive,"0,12"
14842,593.68,R,r,truck,6491,cruise,"0,12"
15139,605.56,L,m,car,6658,overdrive,"0,12"
15216,608.64,L,m,car,6739,overdrive,"0,12"
15252,610.08,R,r,truck,6756,cruise,"0,12"
15261,610.44,L,m,car,6771,overdrive,"0,12"
15463,618.52,L,r,truck,6872,overdrive,"0,12"
15622,624.88,L,m,bus,6936,overdrive,"0,12"
15631,625.24,R,l,bus,6935,cruise,"0,12"
16321,652.84,R,r,truck,7232,cruise,"0,12"
16786,671.44,R,m,truck,7481,cruise,"0,12"
16884,675.36,L,m,truck,7531,overdrive,"0,12"
17034,681.36,L,m,car,7582,overdrive,"0,12"
17071,682.84,L,r,car,7598,overdrive,"0,12"
17072,682.88,L,m,car,7583,overdrive,"0,12"
17110,684.4,R,l,car,7606,overdrive,"0,12"
17218,688.72,R,l,car,7633,overdrive,"0,12"
17307,692.28,R,r,truck,7660,overdrive,"0,12"
17478,699.12,L,m,car,7714,overdrive,"0,12"
17595,703.8,R,m,bus,7745,overdrive,"0,12"
17850,714,R,m,car,7879,overdrive,"0,12"
17920,716.8,L,m,truck,7957,overdrive,"0,12"
17963,718.52,L,l,car,7919,overdrive,"0,12"
18131,725.24,L,l,car,8057,overdrive,"12,24"
18145,725.8,R,l,car,8104,overdrive,"12,24"
18191,727.64,L,r,truck,8061,cruise,"12,24"
18320,732.8,R,l,car,8225,overdrive,"12,24"
18374,734.96,L,m,car,8249,overdrive,"12,24"
18593,743.72,R,m,truck,8360,overdrive,"12,24"
18601,744.04,R,r,truck,8369,overdrive,"12,24"
18635,745.4,R,m,bus,8372,overdrive,"12,24"
18638,745.52,L,m,car,8376,overdrive,"12,24"
18791,751.64,L,r,car,8434,cruise,"12,24"
18800,752,L,r,bus,8444,cruise,"12,24"
18939,757.56,R,m,truck,8535,cruise,"12,24"
19073,762.92,L,m,car,8583,overdrive,"12,24"
19142,765.68,L,m,car,8621,overdrive,"12,24"
19169,766.76,L,m,car,8628,overdrive,"12,24"
